State/Territory,Party
Alabama,Republican
Alaska,Republican
American Samoa,Democratic
Arizona,Republican
Arkansas,Republican
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
Florida,Republican
Georgia,Republican
Guam,Democratic
Hawaii,Democratic
Idaho,Republican
Illinois,Democratic
Indiana,Republican
Iowa,Republican
Kansas,Democratic
Kentucky,Democratic
Louisiana,Democratic
Maine,Democratic
Maryland,Republican
Massachusetts,Republican
Michigan,Democratic
Minnesota,Democratic
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
Nevada,Democratic
New Hampshire,Republican
New Jersey,Democratic
New Mexico,Democratic
New York*,Democratic
North Carolina,Democratic
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democratic
Pennsylvania,Democratic
Puerto Rico,New Progressive
Rhode Island,Democratic
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Republican
Virginia,Democratic
Washington,Democratic
West Virginia,Republican
Wisconsin,Democratic
Wyoming,Republican
Governor of the Northern Mariana Islands,Republican
Governor of the U.S. Virgin Islands,Democratic
